data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,diagnostico,screening,delta_positivi
2020-11-14 17:00:00,312720,8129,5010,35550,2961,156279,158,302,16,5472,2657,90.160967164289
2020-11-15 17:00:00,320780,8060,6262,38702,1617,162541,181,160,20,5042,3018,89.77750274985377
2020-11-16 17:00:00,324908,4128,-10202,18037,14231,152339,99,120,18,3123,1005,64.24951361683604
2020-11-17 17:00:00,333356,8448,4228,38283,4018,156567,202,250,39,6750,1698,91.91300234460846
2020-11-18 17:00:00,340989,7633,-4484,38100,11935,152083,182,172,9,5470,2163,87.36704184073076
2020-11-19 17:00:00,348442,7453,3497,37595,3791,155580,165,-32,12,4269,3184,86.33075929238663
2020-11-20 17:00:00,357663,9221,4061,42248,4985,159641,175,13,15,5721,3500,96.0260381354974
2020-11-21 17:00:00,366516,8853,3044,44294,5640,162685,169,10,6,5677,3176,94.09038208021052
2020-11-22 17:00:00,371610,5094,1721,29800,3208,164406,165,77,13,3418,1676,71.37226352022192
2020-11-23 17:00:00,376899,5289,-14488,32862,19637,149918,140,-60,-4,3816,1473,72.72551134230683
2020-11-24 17:00:00,381785,4886,-1158,31033,5858,148760,186,29,-13,3356,1530,69.89992846920518
2020-11-25 17:00:00,386958,5173,-10731,42063,15749,138029,155,-246,10,3339,1834,71.92357054540605
2020-11-26 17:00:00,392655,5697,2372,44231,3118,140401,207,-118,-8,3516,2181,75.47847375245475
2020-11-27 17:00:00,398044,5389,-9846,40931,15054,130555,181,-127,-9,3466,1923,73.40980860893181
2020-11-28 17:00:00,402659,4615,-240,37286,4736,130315,119,-253,-6,2691,1924,67.93379129711516
2020-11-29 17:00:00,405862,3203,2312,28434,756,132627,135,-216,-12,2085,1118,56.595052787324086
2020-11-30 17:00:00,407791,1929,-7219,16987,8940,125408,208,33,-1,1388,541,43.9203825119955
