data,totale_casi,positivi,netto_positivi,tamponi,guariti,totale_positivi,morti,sintomi,intensiva,diagnostico,screening,delta_positivi
2020-11-11 17:00:00,16253,515,194,4755,309,10334,12,-4,2,113,402,22.693611435820433
2020-11-12 17:00:00,17036,783,450,5824,325,10784,8,-5,1,212,571,27.982137159266443
2020-11-13 17:00:00,17640,604,-394,5014,990,10390,8,5,-1,144,460,24.576411454889016
2020-11-14 17:00:00,18219,579,386,4699,185,10776,8,2,0,124,455,24.06241883103193
2020-11-15 17:00:00,18876,657,319,4329,327,11095,11,5,3,238,419,25.632011235952593
2020-11-16 17:00:00,19159,283,144,755,130,11239,9,9,1,33,250,16.822603841260722
2020-11-17 17:00:00,19510,351,5,5603,333,11244,13,-7,-2,117,234,18.734993995195193
2020-11-18 17:00:00,20011,501,30,4700,460,11274,11,0,4,181,320,22.38302928559939
2020-11-19 17:00:00,20567,556,111,5509,438,11385,7,1,1,81,475,23.57965224510319
2020-11-20 17:00:00,20961,394,-17,3703,390,11368,21,-6,-4,152,242,19.849433241279208
2020-11-21 17:00:00,21369,408,55,4748,344,11423,9,7,4,116,292,20.199009876724155
2020-11-22 17:00:00,21769,400,149,4641,241,11572,10,-2,0,138,262,20.0
2020-11-23 17:00:00,21874,105,-1089,448,1190,10483,4,3,3,25,80,10.246950765959598
2020-11-24 17:00:00,22092,218,-286,4653,494,10197,10,-3,-6,69,149,14.7648230602334
2020-11-25 17:00:00,22478,386,-260,4331,638,9937,8,-7,-2,87,299,19.6468827043885
2020-11-26 17:00:00,22821,343,-503,4791,832,9434,14,-12,-2,80,263,18.520259177452136
2020-11-27 17:00:00,23082,261,-384,3955,631,9050,14,4,-6,69,192,16.15549442140351
2020-11-28 17:00:00,23430,348,-397,4262,739,8653,6,-2,2,82,266,18.65475810617763
2020-11-29 17:00:00,23740,310,-210,3232,515,8443,5,4,1,50,260,17.60681686165901
2020-11-30 17:00:00,23808,68,-208,480,263,8235,13,11,0,25,43,8.246211251235321
